origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-30T17:37:51.187165Z,64.062393,-21.377393,1.5488,0.86,0.270,true,0.293,0.168,-0.061,0.008,64,0.263,0.059,0.189,-0.001,25,0,2.440,6.361,16.621,353,0,379,0,0.0001,0.0146,0.0008,0.0016
2021-01-30T17:34:39.225365Z,64.061836,-21.377883,1.5025,1.42,0.051,true,0.056,0.128,-0.142,0.011,64,0.208,0.055,0.138,0.003,26,0,2.364,6.416,16.624,313,0,426,0,-0.0023,0.0144,0.0019,0.0023
2021-01-30T17:33:49.112708Z,64.061699,-21.378227,1.5221,0.72,0.357,true,0.406,0.146,-0.073,0.004,66,0.208,0.046,0.166,-0.011,24,0,2.365,6.311,13.151,358,0,398,0,0.0033,0.0124,0.0004,0.0020
2021-01-30T13:34:18.808546Z,64.052079,-21.389858,3.9627,-0.07,0.186,true,0.470,0.250,-0.625,-0.238,78,0.929,0.209,0.432,-0.155,7,5,4.304,5.753,6.511,244,61,158,39,-0.0937,0.0407,-0.0018,0.0023
2021-01-30T12:30:32.916637Z,64.050390,-21.261436,3.8497,0.75,0.144,true,0.191,0.210,0.013,0.018,55,0.402,0.090,0.222,0.035,26,0,4.980,8.018,12.688,256,0,403,0,-0.0008,0.0057,0.0006,0.0025
2021-01-30T04:46:35.412328Z,64.062614,-21.389974,2.1012,-0.00,0.330,true,0.384,0.090,0.101,-0.008,52,0.279,0.102,0.071,0.045,11,5,2.755,4.838,9.017,254,56,140,44,-0.0090,0.0117,-0.0001,0.0029
2021-01-30T02:58:05.716426Z,64.007713,-21.346354,1.5585,-0.04,0.110,true,0.426,0.134,0.198,0.003,79,0.408,0.147,0.282,0.028,11,3,2.024,4.016,5.084,658,80,94,12,0.0006,0.0090,0.0013,0.0031
2021-01-30T02:21:44.6885Z,63.998321,-21.368875,1.5998,1.32,0.103,true,0.107,0.110,-0.103,-0.014,61,0.435,0.080,0.256,-0.062,14,7,2.402,5.764,7.320,488,60,158,63,0.0012,0.0101,-0.0000,0.0013
2021-01-30T00:26:15.835409Z,64.060509,-21.398497,2.6409,-0.32,0.207,true,0.201,0.114,-0.082,0.017,66,0.216,0.067,0.170,-0.040,10,4,3.139,5.088,7.022,302,6,235,71,-0.0039,0.0059,-0.0002,0.0008
2021-01-29T20:37:49.773718Z,64.108819,-21.265947,5.1337,0.07,0.218,true,0.469,0.317,0.121,-0.001,55,0.515,0.166,0.247,-0.175,13,10,5.541,8.036,11.677,173,52,287,88,0.0063,0.0157,-0.0003,0.0021
2021-01-29T04:57:41.982643Z,64.015316,-21.380102,3.6087,0.02,0.140,true,0.355,0.041,-1.935,0.017,54,1.843,0.524,0.624,0.256,8,1,4.037,5.282,7.554,255,10,58,3,-0.0296,0.0415,-0.0008,0.0018
2021-01-29T04:44:42.462458Z,64.111572,-21.262330,5.4226,0.16,0.209,true,0.553,0.477,0.070,-0.033,61,0.395,0.123,0.188,-0.022,15,10,5.743,8.190,13.490,170,45,409,109,0.0033,0.0163,-0.0006,0.0028
2021-01-28T21:55:50.626101Z,64.015616,-21.416854,1.7322,0.26,0.066,true,0.068,0.109,0.005,0.004,76,0.274,0.079,0.154,-0.002,18,0,2.045,4.630,8.470,612,0,405,0,-0.0015,0.0051,0.0001,0.0010
2021-01-28T20:58:53.294089Z,64.057699,-21.394005,1.7043,0.17,0.274,true,0.378,0.081,-0.140,0.026,57,0.106,0.011,0.069,-0.005,10,5,2.156,4.454,5.842,311,44,139,59,-0.0084,0.0064,-0.0008,0.0013
2021-01-28T20:42:17.017447Z,64.057641,-21.394535,1.7772,0.21,0.303,true,0.457,0.084,-0.131,0.020,63,0.089,0.021,0.066,-0.009,11,5,2.222,4.697,7.135,336,45,176,78,-0.0033,0.0087,0.0001,0.0028
2021-01-28T13:26:51.262607Z,64.051639,-21.392199,3.7244,-0.07,0.308,true,0.293,0.265,0.616,-0.036,56,0.388,0.167,0.210,0.033,11,7,4.058,6.228,9.703,207,43,160,60,-0.0009,0.0144,-0.0008,0.0014
2021-01-28T12:14:00.817958Z,64.051360,-21.392321,3.7934,0.44,0.048,true,0.047,0.083,0.033,-0.003,75,0.268,0.067,0.199,-0.010,20,0,4.126,6.384,14.741,307,0,431,0,-0.0053,0.0100,0.0000,0.0023
2021-01-28T11:53:40.244441Z,64.057433,-21.387820,1.4405,0.20,0.050,true,0.259,0.311,0.220,-0.180,77,0.354,0.074,0.406,0.034,7,0,1.946,3.795,6.729,268,0,150,0,-0.1409,0.0190,-0.0002,0.0031
2021-01-28T11:46:11.348148Z,64.057512,-21.395193,1.8439,1.32,0.042,true,0.040,0.102,-0.049,0.010,59,0.092,0.021,0.059,-0.021,23,0,2.279,5.877,10.293,452,0,288,0,0.0028,0.0065,0.0000,0.0009
2021-01-28T09:13:51.987074Z,64.064501,-21.251666,3.9576,-0.04,0.391,true,0.497,0.054,-0.016,0.020,72,0.302,0.072,0.138,0.041,14,4,4.338,6.819,9.971,402,89,307,126,-0.0130,0.0140,0.0004,0.0020
2021-01-28T05:03:32.947208Z,64.051545,-21.391488,3.6266,-0.16,0.174,true,0.958,0.060,-0.156,0.021,65,0.367,0.153,0.200,0.004,8,5,3.962,5.552,6.328,168,49,217,63,-0.0142,0.0110,0.0002,0.0011
2021-01-27T13:14:46.256226Z,64.121113,-21.256226,0.0023,0.37,0.410,true,0.885,0.132,0.089,0.025,55,2.061,0.802,0.638,-1.503,11,0,0.920,6.425,12.181,393,0,26,0,0.0081,0.0416,-0.0018,0.0059
2021-01-27T12:30:20.262398Z,64.060366,-21.190045,4.3755,0.26,0.143,true,0.223,0.282,1.372,-0.032,62,0.626,0.156,0.499,-0.171,11,6,5.279,7.995,9.784,227,40,335,53,0.0322,0.0336,0.0007,0.0032
